source_id,source_name,sector,subsector,lat,lon,gas,emissions_co2e_tonnes,year
25456676,CalPeak Power Vaca Dixon Peaker Plant,power,electricity-generation,38.3989,-121.924,co2,6177.14,2022
25456755,Agua Mansa Power Plant,power,electricity-generation,34.0414,-117.3603,co2,6090.0,2022
25456683,Cuyamaca Peak Energy Plant,power,electricity-generation,32.7965,-116.9721,co2,5891.39,2022
25456689,Escondido Energy Center,power,electricity-generation,33.1284,-117.1203,co2,5695.63,2022
25456700,Lambie Energy Center,power,electricity-generation,38.2216,-121.8683,co2,5117.87,2022
25456260,McKittrick Limited,power,electricity-generation,35.3195,-119.662,co2,4991.0,2022
25456699,Creed Energy Center,power,electricity-generation,38.2422,-121.8547,co2,4880.89,2022
25456744,Wolfskill Energy Center,power,electricity-generation,38.2285,-122.0753,co2,4267.12,2022
25456842,Center Hybrid,power,electricity-generation,33.9296,-118.1046,co2,4044.96,2022
25456467,Goal Line LP,power,electricity-generation,33.1185,-117.0995,co2,3632.6,2022
25456681,CalPeak Power Panoche Peaker Plant,power,electricity-generation,36.6531,-120.5807,co2,3270.59,2022
53058457,Aliso Canyon CA,fossil-fuel-operations,oil-and-gas-production,34.313,-118.558,co2,1424.158631917543,2022
50384883,Dinuba Energy,power,electricity-generation,36.5715,-119.4192,co2,0.0,2022
25456169,Sierra Pacific Quincy Facility,power,electricity-generation,39.9412,-120.9092,co2,0.0,2022
25456209,VESI Pomona,power,electricity-generation,34.0594,-117.7742,co2,0.0,2022
25456255,Pacific-Ultrapower Chinese Station,power,electricity-generation,37.8741,-120.4776,co2,0.0,2022
50383789,Desert View Power,power,electricity-generation,33.586,-116.0873,co2,0.0,2022
49534106,SEGS VIII power station,power,electricity-generation,35.0308,-117.3563,co2,0.0,2022
49701606,Madera Biomass power station,power,electricity-generation,36.8615,-120.339,co2,0.0,2022
1753927,Talley Asphalts Products Kern Refinery,fossil-fuel-operations,oil-and-gas-refining,35.144875,-119.427423,co2,0.0,2022
25456323,Wheelabrator Shasta,power,electricity-generation,40.4283,-122.2792,co2,0.0,2022
25456263,Gaviota Oil Plant,power,electricity-generation,34.4751,-120.2051,co2,0.0,2022
25456168,Sierra Pacific Loyalton Facility,power,electricity-generation,39.6699,-120.2394,co2,0.0,2022
25456386,"Otay Landfill Gas, LLC",power,electricity-generation,32.5983,-117.0178,co2,0.0,2022
25456167,Sierra Pacific Burney Facility,power,electricity-generation,40.8767,-121.7016,co2,0.0,2022
25456108,Burney Forest Products,power,electricity-generation,40.8797,-121.7203,co2,0.0,2022
25450023,Anaheim GT,power,electricity-generation,33.8535,-117.8563,co2,0.0,2022
720994,Mesquite Lake Water & Power Plant 1,power,electricity-generation,32.9066,-115.5137,co2,0.0,2022
25456010,Sierra Pacific Lincoln Facility,power,electricity-generation,38.9032,-121.3097,co2,0.0,2022
25456743,Inland Empire Energy Center,power,electricity-generation,33.7388,-117.1704,co2,0.0,2022
25456837,Roseburg Forest Products Biomass,power,electricity-generation,41.4356,-122.3769,co2,0.0,2022
25456099,Civic Center,power,electricity-generation,34.0564,-118.2436,co2,0.0,2022
25456109,Collins Pine Project,power,electricity-generation,40.3034,-121.2444,co2,0.0,2022
41636007,Buena Vista Biomass Power,power,electricity-generation,38.2778,-120.9136,co2,0.0,2022
25456129,Rio Bravo Rocklin,power,electricity-generation,38.8319,-121.3137,co2,0.0,2022
25456133,HL Power,power,electricity-generation,40.3683,-120.2648,co2,0.0,2022
25456142,Woodland Biomass Power Ltd,power,electricity-generation,38.6905,-121.7371,co2,0.0,2022
1927695,Sierra Pacific Sonora,power,electricity-generation,37.9664,-120.3178,co2,0.0,2022
1753392,Tesoro Martinez Refinery,fossil-fuel-operations,oil-and-gas-refining,38.026078,-122.064118,co2,0.0,2022
25456158,Humboldt Sawmill Company,power,electricity-generation,40.4728,-124.1014,co2,0.0,2022
42298757,Coolwater,power,electricity-generation,34.8606,-116.8539,co2,0.0,2022
41635935,Shasta Renewable Resources Plant,power,electricity-generation,40.4708,-122.3311,co2,0.0,2022
41635943,Colton Plant,power,electricity-generation,34.0597,-117.3453,co2,0.0,2022
41627844,Pittsburg Power,power,electricity-generation,38.0392,-121.8945,co2,0.0,2022
41628179,Reid Gardner,power,electricity-generation,36.6573,-114.6333,co2,0.0,2022
41627858,Broadway (CA),power,electricity-generation,34.1254,-118.148,co2,0.0,2022
41627853,Mandalay,power,electricity-generation,34.2067,-119.2511,co2,0.0,2022
41627848,Miramar,power,electricity-generation,32.8761,-117.1664,co2,0.0,2022
41627847,Kearny,power,electricity-generation,32.834,-117.1338,co2,0.0,2022
41627845,El Cajon,power,electricity-generation,32.7958,-116.9722,co2,0.0,2022
40699916,ERock MID Claribel Generation Station,power,electricity-generation,37.7103,-120.9685,co2,0.0,2022
41634932,Commerce Refuse To Energy,power,electricity-generation,33.9949,-118.1538,co2,0.0,2022
40699915,Enchanted Rock Turlock Irrigation Distri,power,electricity-generation,37.4359,-121.131,co2,0.0,2022
40699914,Enchanted Rock Lodi,power,electricity-generation,38.1477,-121.2997,co2,0.0,2022
40699202,Mt Poso Cogeneration,power,electricity-generation,35.5763,-119.0062,co2,0.0,2022
25456970,Fullerton Mill CHP,power,electricity-generation,33.8617,-117.8931,co2,0.0,2022
25456433,Los Angeles Refinery Wilmington,power,electricity-generation,33.7686,-118.2867,co2,0.0,2022
25456413,Stockton Biomass Cogeneration Facility,power,electricity-generation,37.9119,-121.2611,co2,0.0,2022
41634931,Pulp Mill Power House,power,electricity-generation,40.8054,-124.1949,co2,0.0,2022
41634944,Cardinal Cogen,power,electricity-generation,37.4298,-122.1763,co2,0.0,2022
25457055,SPI Anderson 2,power,electricity-generation,40.4723,-122.3242,co2,0.0,2022
41635098,HGST San Jose Standby Generator,power,electricity-generation,37.2444,-121.7963,co2,0.0,2022
41635652,Tri Center Naniwa Energy,power,electricity-generation,39.5572,-119.5178,co2,0.0,2022
41635413,Graphic Packaging International,power,electricity-generation,37.3682,-121.9436,co2,0.0,2022
41635389,Oildale Energy LLC,power,electricity-generation,35.417,-119.0102,co2,0.0,2022
41635329,Ingredion Stockton,power,electricity-generation,37.9128,-121.2614,co2,0.0,2022
41635280,Central Utility Plant,power,electricity-generation,33.9249,-118.0679,co2,0.0,2022
41635106,San Joaquin Cogen,power,electricity-generation,37.8062,-121.2771,co2,0.0,2022
41635082,North Island Energy Facility,power,electricity-generation,32.7052,-117.1897,co2,0.0,2022
41634991,GRS Coyote Canyon,power,electricity-generation,33.613,-117.8219,co2,0.0,2022
41635081,Naval Station Energy Facility,power,electricity-generation,32.6793,-117.1224,co2,0.0,2022
41635080,NTC/MCRD Energy Facility,power,electricity-generation,32.7353,-117.2083,co2,0.0,2022
41635041,"Corona Energy Partners, Ltd",power,electricity-generation,33.8827,-117.5565,co2,0.0,2022
41635014,Thermal Energy Development Part LP,power,electricity-generation,37.7199,-121.4887,co2,0.0,2022
41635008,Pitchess Cogen Station,power,electricity-generation,34.4639,-118.594,co2,0.0,2022
41635005,Spadra Landfill Gas to Energy,power,electricity-generation,34.0408,-117.8217,co2,0.0,2022
41627850,Etiwanda Generating Station,power,electricity-generation,34.0912,-117.5266,co2,0.0,2022
