STATION,DATE,TMAX,city
USW00023174,1980-08-01,317,Los Angeles (LAX)
USW00023174,1980-08-02,283,Los Angeles (LAX)
USW00023174,1980-08-03,272,Los Angeles (LAX)
USW00023174,1980-08-04,261,Los Angeles (LAX)
USW00023174,1980-08-05,250,Los Angeles (LAX)
USW00023174,1980-08-06,239,Los Angeles (LAX)
USW00023174,1980-08-07,283,Los Angeles (LAX)
USW00023174,1980-08-08,272,Los Angeles (LAX)
USW00023174,1980-08-09,289,Los Angeles (LAX)
USW00023174,1980-08-10,261,Los Angeles (LAX)
USW00023174,1980-08-11,267,Los Angeles (LAX)
USW00023174,1980-08-12,272,Los Angeles (LAX)
USW00023174,1980-08-13,278,Los Angeles (LAX)
USW00023174,1980-08-14,244,Los Angeles (LAX)
USW00023174,1980-08-15,244,Los Angeles (LAX)
USW00023174,1980-08-16,233,Los Angeles (LAX)
USW00023174,1980-08-17,244,Los Angeles (LAX)
USW00023174,1980-08-18,233,Los Angeles (LAX)
USW00023174,1980-08-19,239,Los Angeles (LAX)
USW00023174,1980-08-20,233,Los Angeles (LAX)
USW00023174,1980-08-21,233,Los Angeles (LAX)
USW00023174,1980-08-22,233,Los Angeles (LAX)
USW00023174,1980-08-23,239,Los Angeles (LAX)
USW00023174,1980-08-24,233,Los Angeles (LAX)
USW00023174,1980-08-25,228,Los Angeles (LAX)
USW00023174,1980-08-26,228,Los Angeles (LAX)
USW00023174,1980-08-27,228,Los Angeles (LAX)
USW00023174,1980-08-28,228,Los Angeles (LAX)
USW00023174,1980-08-29,244,Los Angeles (LAX)
USW00023174,1980-08-30,239,Los Angeles (LAX)
USW00023174,1980-08-31,244,Los Angeles (LAX)
USW00023174,1980-09-01,228,Los Angeles (LAX)
USW00023174,1980-09-02,217,Los Angeles (LAX)
USW00023174,1980-09-03,222,Los Angeles (LAX)
USW00023174,1980-09-04,217,Los Angeles (LAX)
USW00023174,1980-09-05,211,Los Angeles (LAX)
USW00023174,1980-09-06,222,Los Angeles (LAX)
USW00023174,1980-09-07,239,Los Angeles (LAX)
USW00023174,1980-09-08,228,Los Angeles (LAX)
USW00023174,1980-09-09,222,Los Angeles (LAX)
USW00023174,1980-09-10,222,Los Angeles (LAX)
USW00023174,1980-09-11,228,Los Angeles (LAX)
USW00023174,1980-09-12,228,Los Angeles (LAX)
USW00023174,1980-09-13,217,Los Angeles (LAX)
USW00023174,1980-09-14,233,Los Angeles (LAX)
USW00023174,1980-09-15,217,Los Angeles (LAX)
USW00023174,1980-09-16,239,Los Angeles (LAX)
USW00023174,1980-09-17,289,Los Angeles (LAX)
USW00023174,1980-09-18,250,Los Angeles (LAX)
USW00023174,1980-09-19,233,Los Angeles (LAX)
USW00023174,1980-09-20,244,Los Angeles (LAX)
USW00023174,1980-09-21,228,Los Angeles (LAX)
USW00023174,1980-09-22,211,Los Angeles (LAX)
USW00023174,1980-09-23,189,Los Angeles (LAX)
USW00023174,1980-09-24,211,Los Angeles (LAX)
USW00023174,1980-09-25,211,Los Angeles (LAX)
USW00023174,1980-09-26,200,Los Angeles (LAX)
USW00023174,1980-09-27,211,Los Angeles (LAX)
USW00023174,1980-09-28,228,Los Angeles (LAX)
USW00023174,1980-09-29,233,Los Angeles (LAX)
USW00023174,1980-09-30,261,Los Angeles (LAX)
USW00023174,1980-10-01,250,Los Angeles (LAX)
USW00023174,1980-10-02,228,Los Angeles (LAX)
USW00023174,1980-10-03,233,Los Angeles (LAX)
USW00023174,1980-10-04,222,Los Angeles (LAX)
USW00023174,1980-10-05,200,Los Angeles (LAX)
USW00023174,1980-10-06,194,Los Angeles (LAX)
USW00023174,1980-10-07,228,Los Angeles (LAX)
USW00023174,1980-10-08,200,Los Angeles (LAX)
USW00023174,1980-10-09,217,Los Angeles (LAX)
USW00023174,1980-10-10,206,Los Angeles (LAX)
USW00023174,1980-10-11,217,Los Angeles (LAX)
USW00023174,1980-10-12,217,Los Angeles (LAX)
USW00023174,1980-10-13,217,Los Angeles (LAX)
USW00023174,1980-10-14,222,Los Angeles (LAX)
USW00023174,1980-10-15,194,Los Angeles (LAX)
USW00023174,1980-10-16,200,Los Angeles (LAX)
USW00023174,1980-10-17,194,Los Angeles (LAX)
USW00023174,1980-10-18,250,Los Angeles (LAX)
USW00023174,1980-10-19,283,Los Angeles (LAX)
USW00023174,1980-10-20,311,Los Angeles (LAX)
USW00023174,1980-10-21,278,Los Angeles (LAX)
USW00023174,1980-10-22,211,Los Angeles (LAX)
USW00023174,1980-10-23,200,Los Angeles (LAX)
USW00023174,1980-10-24,294,Los Angeles (LAX)
USW00023174,1980-10-25,200,Los Angeles (LAX)
USW00023174,1980-10-26,194,Los Angeles (LAX)
USW00023174,1980-10-27,200,Los Angeles (LAX)
USW00023174,1980-10-28,261,Los Angeles (LAX)
USW00023174,1980-10-29,278,Los Angeles (LAX)
USW00023174,1980-10-30,306,Los Angeles (LAX)
USW00023174,1980-10-31,306,Los Angeles (LAX)
USW00023174,1980-11-01,278,Los Angeles (LAX)
USW00023174,1980-11-02,250,Los Angeles (LAX)
USW00023174,1980-11-03,250,Los Angeles (LAX)
USW00023174,1980-11-04,183,Los Angeles (LAX)
USW00023174,1980-11-05,200,Los Angeles (LAX)
USW00023174,1980-11-06,211,Los Angeles (LAX)
USW00023174,1980-11-07,178,Los Angeles (LAX)
USW00023174,1980-11-08,178,Los Angeles (LAX)
USW00023174,1980-11-09,183,Los Angeles (LAX)
USW00023174,1980-11-10,183,Los Angeles (LAX)
USW00023174,1980-11-11,194,Los Angeles (LAX)
USW00023174,1980-11-12,206,Los Angeles (LAX)
USW00023174,1980-11-13,211,Los Angeles (LAX)
USW00023174,1980-11-14,222,Los Angeles (LAX)
USW00023174,1980-11-15,244,Los Angeles (LAX)
USW00023174,1980-11-16,233,Los Angeles (LAX)
USW00023174,1980-11-17,228,Los Angeles (LAX)
USW00023174,1980-11-18,217,Los Angeles (LAX)
USW00023174,1980-11-19,233,Los Angeles (LAX)
USW00023174,1980-11-20,244,Los Angeles (LAX)
USW00023174,1980-11-21,250,Los Angeles (LAX)
USW00023174,1980-11-22,194,Los Angeles (LAX)
USW00023174,1980-11-23,183,Los Angeles (LAX)
USW00023174,1980-11-24,250,Los Angeles (LAX)
USW00023174,1980-11-25,228,Los Angeles (LAX)
USW00023174,1980-11-26,256,Los Angeles (LAX)
USW00023174,1980-11-27,272,Los Angeles (LAX)
USW00023174,1980-11-28,261,Los Angeles (LAX)
USW00023174,1980-11-29,261,Los Angeles (LAX)
USW00023174,1980-11-30,189,Los Angeles (LAX)
USW00023174,1980-12-01,178,Los Angeles (LAX)
USW00023174,1980-12-02,178,Los Angeles (LAX)
USW00023174,1980-12-03,167,Los Angeles (LAX)
USW00023174,1980-12-04,167,Los Angeles (LAX)
USW00023174,1980-12-05,178,Los Angeles (LAX)
USW00023174,1980-12-06,167,Los Angeles (LAX)
USW00023174,1980-12-07,161,Los Angeles (LAX)
USW00023174,1980-12-08,200,Los Angeles (LAX)
USW00023174,1980-12-09,200,Los Angeles (LAX)
USW00023174,1980-12-10,239,Los Angeles (LAX)
USW00023174,1980-12-11,261,Los Angeles (LAX)
USW00023174,1980-12-12,206,Los Angeles (LAX)
USW00023174,1980-12-13,183,Los Angeles (LAX)
USW00023174,1980-12-14,217,Los Angeles (LAX)
USW00023174,1980-12-15,261,Los Angeles (LAX)
USW00023174,1980-12-16,294,Los Angeles (LAX)
USW00023174,1980-12-17,244,Los Angeles (LAX)
USW00023174,1980-12-18,156,Los Angeles (LAX)
USW00023174,1980-12-19,156,Los Angeles (LAX)
USW00023174,1980-12-20,228,Los Angeles (LAX)
USW00023174,1980-12-21,217,Los Angeles (LAX)
USW00023174,1980-12-22,161,Los Angeles (LAX)
USW00023174,1980-12-23,194,Los Angeles (LAX)
USW00023174,1980-12-24,244,Los Angeles (LAX)
USW00023174,1980-12-25,267,Los Angeles (LAX)
USW00023174,1980-12-26,267,Los Angeles (LAX)
USW00023174,1980-12-27,172,Los Angeles (LAX)
USW00023174,1980-12-28,206,Los Angeles (LAX)
